# CO2 Emissions Germany
# Transcribed from https://www.umweltbundesamt.de/sites/default/files/medien/384/bilder/dateien/3_tab_emi-direkt-indirekt-thg_2019.pdf
# Listed under https://www.umweltbundesamt.de/daten/klima/treibhausgas-emissionen-in-deutschland
# 2018 data point from https://www.umweltbundesamt.de/sites/default/files/medien/384/bilder/dateien/2_abb_thg-emissionen-seit-1990-nach-gasen_2019.pdf
# kt CO2 equivalent
year,emissions
1990-12-31,1250993
1991-12-31,1203924
1992-12-31,1153796
1993-12-31,1144857
1994-12-31,1125835
1995-12-31,1123035
1996-12-31,1141085
1997-12-31,1106001
1998-12-31,1080729
1999-12-31,1047034
2000-12-31,1045187
2001-12-31,1060271
2002-12-31,1038920
2003-12-31,1035574
2004-12-31,1019124
2005-12-31,993344
2006-12-31,1000638
2007-12-31,973942
2008-12-31,975646
2009-12-31,908054
2010-12-31,942542
2011-12-31,920306
2012-12-31,924611
2013-12-31,942250
2014-12-31,903196
2015-12-31,907190
2016-12-31,911049
2017-12-31,906611
2018-12-31,866000
